"doy","rain","dt","temp","radiation","RH","wind","lat","long","elev","height"
0,0,0.01,19.7666666666667,3.20211111111111,74.7333333333333,2.47777777777778,14.24,102.69,295,2.5
0.01,0,0.01,19.4666666666667,2.80922222222222,75.5888888888889,4.31111111111111,14.24,102.69,295,2.5
0.02,0,0.01,19.2444444444444,3.33288888888889,76.2888888888889,2.28888888888889,14.24,102.69,295,2.5
0.03,0,0.01,19.0444444444444,3.46377777777778,76.9,3.64444444444444,14.24,102.69,295,2.5
0.04,0,0.01,18.9888888888889,2.80911111111111,76.9555555555555,1.97777777777778,14.24,102.69,295,2.5
0.05,0,0.01,18.7888888888889,3.85666666666667,77.4,4.71111111111111,14.24,102.69,295,2.5
0.06,0,0.01,18.7222222222222,3.333,77.3666666666667,3.16666666666667,14.24,102.69,295,2.5
0.07,0,0.01,18.6,2.54722222222222,77.6777777777778,4.6,14.24,102.69,295,2.5
0.08,0,0.01,18.3333333333333,2.41633333333333,78.2333333333333,5.4,14.24,102.69,295,2.5
0.09,0,0.01,18.0666666666667,2.80922222222222,78.9777777777778,3.71111111111111,14.24,102.69,295,2.5
0.1,0,0.01,17.7222222222222,3.20188888888889,80.0222222222222,3.38888888888889,14.24,102.69,295,2.5
0.11,0,0.01,17.4777777777778,3.202,80.5444444444444,2.62222222222222,14.24,102.69,295,2.5
0.12,0,0.01,17.2888888888889,2.94011111111111,81.2777777777778,2.33333333333333,14.24,102.69,295,2.5
0.13,0,0.01,17.1333333333333,2.54733333333333,81.7555555555556,3.22222222222222,14.24,102.69,295,2.5
0.14,0,0.01,17.1666666666667,3.333,81.6888888888889,2.86666666666667,14.24,102.69,295,2.5
0.15,0,0.01,17.3111111111111,2.41633333333333,81.1777777777778,1.27777777777778,14.24,102.69,295,2.5
0.16,0,0.01,17.35,2.61283333333333,81.0333333333333,0.266666666666667,14.24,102.69,295,2.5
0.17,0,0.01,17.2777777777778,3.202,81.1111111111111,0.922222222222222,14.24,102.69,295,2.5
0.18,0,0.01,17.1444444444444,2.67822222222222,81.6,1.46666666666667,14.24,102.69,295,2.5
0.19,0,0.01,17.0333333333333,2.80922222222222,81.8444444444444,1.25555555555556,14.24,102.69,295,2.5
0.2,0,0.01,16.9444444444444,3.07111111111111,82.1888888888889,1.72222222222222,14.24,102.69,295,2.5
0.21,0,0.01,16.8333333333333,2.80922222222222,82.4222222222222,2.44444444444444,14.24,102.69,295,2.5
0.22,0,0.01,16.8444444444444,2.80922222222222,82.2444444444444,2.87777777777778,14.24,102.69,295,2.5
0.23,0,0.01,16.7555555555556,3.202,82.4888888888889,1.75555555555556,14.24,102.69,295,2.5
0.24,0,0.01,16.55,2.61283333333333,83.1833333333333,1.51666666666667,14.24,102.69,295,2.5
0.25,0,0.01,16.5,2.94011111111111,83.5555555555556,1.4,14.24,102.69,295,2.5
0.26,0,0.01,16.4888888888889,3.59477777777778,83.7333333333333,1.87777777777778,14.24,102.69,295,2.5
0.27,0,0.01,16.4222222222222,3.33288888888889,83.8888888888889,1.44444444444444,14.24,102.69,295,2.5
0.28,0,0.01,16.3555555555556,7.07088888888889,83.7666666666667,0.744444444444444,14.24,102.69,295,2.5
0.29,0,0.01,16.4444444444444,18.5623333333333,83.7777777777778,0.955555555555555,14.24,102.69,295,2.5
0.3,0,0.01,16.6222222222222,29.8952222222222,83.4555555555556,1.73333333333333,14.24,102.69,295,2.5
0.31,0,0.01,16.9,51.8464444444444,82.7555555555556,1.93333333333333,14.24,102.69,295,2.5
0.32,0,0.01,17.1888888888889,71.9565555555556,81.8111111111111,2.92222222222222,14.24,102.69,295,2.5
0.33,0,0.01,17.55,101.2865,80.7333333333333,1.83333333333333,14.24,102.69,295,2.5
0.34,0,0.01,18.0666666666667,117.815333333333,79.2,1.53333333333333,14.24,102.69,295,2.5
0.35,0,0.01,18.4777777777778,146.135333333333,77.5111111111111,3.13333333333333,14.24,102.69,295,2.5
0.36,0,0.01,18.6333333333333,158.047888888889,77,4.8,14.24,102.69,295,2.5
0.37,0,0.01,19.2555555555556,196.751888888889,75.2333333333333,2.5,14.24,102.69,295,2.5
0.38,0,0.01,19.7444444444444,243.170555555556,73.4888888888889,3.52222222222222,14.24,102.69,295,2.5
0.39,0,0.01,20.4666666666667,374.247555555556,71.4777777777778,4.95555555555556,14.24,102.69,295,2.5
0.4,0,0.01,21.4111111111111,414.218666666667,68.6555555555556,5.06666666666667,14.24,102.69,295,2.5
0.41,0,0.01,22.0666666666667,396.3815,67.1666666666667,4.73333333333333,14.24,102.69,295,2.5
0.42,0,0.01,22.6666666666667,500.047,65.4555555555555,3.92222222222222,14.24,102.69,295,2.5
0.43,0,0.01,23.2666666666667,525.598111111111,63.7444444444444,6.57777777777778,14.24,102.69,295,2.5
0.44,0,0.01,23.7777777777778,565.881111111111,62.7222222222222,5.93333333333333,14.24,102.69,295,2.5
